"","año","mes","fecha","ciudad","temperatura"
"202",2002,"MAY","2002-5-1","ipiales",11.6
"203",2003,"MAY","2003-5-1","ipiales",11.7
"204",2004,"MAY","2004-5-1","ipiales",11.6
"205",2005,"MAY","2005-5-1","ipiales",11.7
"206",2006,"MAY","2006-5-1","ipiales",11.5
"207",2007,"MAY","2007-5-1","ipiales",11.8
"208",2008,"MAY","2008-5-1","ipiales",NA
"209",2009,"MAY","2009-5-1","ipiales",11.3
"210",2010,"MAY","2010-5-1","ipiales",NA
"211",2011,"MAY","2011-5-1","ipiales",11.7
"212",2012,"MAY","2012-5-1","ipiales",10.9
"213",2013,"MAY","2013-5-1","ipiales",11.8
"214",2014,"MAY","2014-5-1","ipiales",11.7
"215",2015,"MAY","2015-5-1","ipiales",NA
"216",1973,"JUN","1973-6-1","ipiales",NA
"217",1974,"JUN","1974-6-1","ipiales",NA
"218",1975,"JUN","1975-6-1","ipiales",9.8
"219",1976,"JUN","1976-6-1","ipiales",9.9
"220",1977,"JUN","1977-6-1","ipiales",10.1
"221",1978,"JUN","1978-6-1","ipiales",9.9
"222",1979,"JUN","1979-6-1","ipiales",10.2
"223",1980,"JUN","1980-6-1","ipiales",NA
"224",1981,"JUN","1981-6-1","ipiales",10.2
"225",1982,"JUN","1982-6-1","ipiales",10.5
"226",1983,"JUN","1983-6-1","ipiales",10.8
"227",1984,"JUN","1984-6-1","ipiales",10.5
"228",1985,"JUN","1985-6-1","ipiales",9.9
"229",1986,"JUN","1986-6-1","ipiales",10.2
"230",1987,"JUN","1987-6-1","ipiales",10.9
"231",1988,"JUN","1988-6-1","ipiales",10.7
"232",1989,"JUN","1989-6-1","ipiales",10.5
"233",1990,"JUN","1990-6-1","ipiales",11.1
"234",1991,"JUN","1991-6-1","ipiales",11.2
"235",1992,"JUN","1992-6-1","ipiales",10.9
"236",1993,"JUN","1993-6-1","ipiales",10.6
"237",1994,"JUN","1994-6-1","ipiales",10.5
"238",1995,"JUN","1995-6-1","ipiales",11.1
"239",1996,"JUN","1996-6-1","ipiales",10.5
"240",1997,"JUN","1997-6-1","ipiales",11
