No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr)
684,10000,17.88,68.88,580.0,678
686,10000,-71.68,19.1,1029.0,666
698,10000,20.98,39.58,350.0,642
687,10000,2.35,43.23,1730.0,668
688,10000,-107.38,24.93,11409.0,658
689,10000,-41.17,-20.7,1458.0,658
690,10000,-131.64,56.21,175.0,654
691,10000,173.18,-41.71,550.0,653
692,10000,-95.33,16.43,9364.0,655
693,10000,131.52,34.05,536.0,644
694,10000,-3.32,34.24,24422.0,647
695,10000,79.2,11.95,12888.0,651
696,10000,-97.86,28.04,43149.0,640
697,10000,-43.87,-3.55,2450.0,642
630,10000,-35.86,-9.47,3860.0,938
580,10000,121.07,22.9,476.0,1122
628,10000,-109.05,25.95,34247.0,971
555,10000,99.61,7.55,1801.0,1284
557,10000,-0.65,39.12,17876.0,1283
558,10000,-46.87,-1.25,1315.0,1274
559,10000,147.23,-36.41,4716.0,1260
560,10000,24.48,41.28,4393.0,1254
561,10000,24.87,64.76,4395.0,1230
562,10000,-148.96,70.28,8107.0,1268
563,10000,-41.46,-19.59,3230.0,1226
564,10000,-4.2,51.86,1090.0,1225
565,10000,130.8,32.22,521.0,1216
566,10000,-71.68,43.75,1611.0,1218
567,10000,-39.46,-14.33,6570.0,1216
568,10000,-103.63,18.8,6835.0,1203
569,10000,176.42,-39.53,1030.0,1204
570,10000,-139.57,69.32,5710.0,1197
571,10000,100.67,5.2,689.0,1190
572,10000,-88.41,13.28,2238.0,1176
573,10000,103.75,1.78,1130.0,1169
574,10000,-52.9,-31.87,2371.0,1158
575,10000,120.8,24.3,599.0,1158
576,10000,-51.74,0.41,1220.0,1157
577,10000,-105.13,20.92,9329.0,1138
556,10000,130.75,32.66,519.0,1281
554,10000,-108.02,25.9,8179.0,1294
627,10000,-130.07,56.03,243.0,950
553,10000,-39.12,-13.6,2830.0,1311
532,10000,-148.76,69.09,5719.0,1471
533,10000,135.88,34.75,1455.0,1468
534,10000,110.23,-7.74,2008.0,1451
535,10000,-106.6,23.95,6166.0,1436
536,10000,-97.47,20.54,1600.0,1415
537,10000,80.87,6.34,1589.0,1418
538,10000,128.3,35.31,2984.0,1408
539,10000,21.85,63.13,4805.0,1370
540,10000,26.72,56.9,6510.0,1410
